EAN;descrpcion_es;id_familia_producto;en_showroom;rack;modulo;fila;en_almacen;en_self;Ubicacion
3663602676713;RODAPIE WOODPROJECT 8X60;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-301 (34)
8435609383810;RODAPIE SELVA HAYA MATE 7,5X60-6UDS;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-107 (7)
8435609383834;RODAPIE SELVA GRIS MATE 7,5X60-6UDS;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-205 (32)
5059340721019;RODAPIE DAMIAN 7.45X45 BEIGE;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-102 (22)
5059340346304;RODAPIE PLAIN WHITE 8X60;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-107 (27)
8429991917890;RODAPIE PANTIN MUD 8X60 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-105 (25)
3663602677420;RODAPIE STRUCTURED BG 8X60;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-101 (21)
8435609366134;RODAPIE ASSEN GREY MATE 7.5X45 6UD;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-106 (26)
8429991917876;RODAPIE PANTIN GRIS 8X60 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-103 (23)
8429991917883;RODAPIE PANTIN MARENGO 8X60 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-104 (24)
5059340875026;RODAPIE ENORA ANTRACITA 9X60.8 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-201 (28)
8435609363508;RODAPIE CHELSEA CORAL 7.5X45 4 PZ;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-204 (31)
5063022553409;RODAPIE BELINDA BEIGE 7,5X45 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-202 (29)
5063022553416;RODAPIE TRAVERTINA LIGHT BEIGE 8X45 6UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-405 (45)
5059340854274;RODAPIE SHADED SLATE 8X60 BEIGE;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-507 (53)
5059340854243;RODAPIE SHADED SLATE 8X60 GRIS;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-505 (51)
8429991918231;RODAPIE NEW PORT SILVER 8X60 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-401 (41)
5063022655653;RODAPIE HARIS 8X60;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-307 (20)
5059340459929;RODAPIE HARIAS ANTRACITA 7.5X45 1UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-504 (50)
5059340854250;RODAPIE SHADED SLATE 8X60 ANTRACITA;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-506 (52)
8435414103009;RODAPIE ASPEN BEIGE 7,5 X60 5PZ;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-402 (42)
8435414101784;RODAPIE ASPEN TIERRA 7,5X60 5U;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-403 (43)
8435414126558;RODAPIE ASPEN BLUE 7,5X60 5UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-404 (44)
8435609365960;RODAPIE ARAS TERRA 8X33 4 U;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-501 (47)
8435609365977;RODAPIE ARAS COTTO 8X33 4 U ;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-502 (48)
8429178985018;PAVIMENTO SEGOVIA COTTO 33X33 C3 ;;SI;RACK 11;MODULO 1;FILA 3;SI;NO;28-01-201
